original_file,deidentified_file,persona1_original,persona1_id,persona2_original,persona2_id
INTJ_vs_ENFJ_20260419_170738.txt,INTJ_vs_ENFJ_20260419_170738.txt,INTJ,W,ENFJ,K
INTJ_vs_ENFP_20260419_170738.txt,INTJ_vs_ENFP_20260419_170738.txt,INTJ,Z,ENFP,M
INTJ_vs_ENTJ_20260419_170738.txt,INTJ_vs_ENTJ_20260419_170738.txt,INTJ,L,ENTJ,Y
INTJ_vs_ENTP_20260419_170738.txt,INTJ_vs_ENTP_20260419_170738.txt,INTJ,X,ENTP,A
INTJ_vs_INFJ_20260419_170738.txt,INTJ_vs_INFJ_20260419_170738.txt,INTJ,Q,INFJ,C
INTJ_vs_INFP_20260419_170738.txt,INTJ_vs_INFP_20260419_170738.txt,INTJ,H,INFP,U
INTJ_vs_INTP_20260419_170738.txt,INTJ_vs_INTP_20260419_170738.txt,INTJ,R,INTP,N
